1,2,3,4,5,6,7,8,9,10,11,12
Technetium,PN[R8N8E-1]N[R8N8E0]PN[R4N4E1][R0N5E0]N[R0N4E0][R3N4E-1]PN[R8N8E0]N[R8N8E1]P,35,,43   Tc-98,Tc-98,43,2,5,0,342.05,0
Ruthenium,PN[R8N8E-1]N[R8N8E0]PN[R4N4E1][R0N6E0]N[R0N5E0][R4N4E-1]PN[R8N8E0]N[R8N8E1]P,35,,44   Ru-101,Ru-101,44,2,5,0,342.05,0
Rhodium,PN[R8N8E-1]N[R8N8E0]PN[R3N3E1]N[R0N5E0]PN[R0N0E0]N[R0N0E0]PN[R0N4E0]N[R4N4E-1]PN[R8N8E0]N[R8N8E1]P,40,,45   Rh-103,Rh-103,45,2,5,0,342.05,0
Palladium,PN[R8N8E-1]N[R8N8E0]PN[R4N4E1]N[R0N5E0]PN[R0N0E0]N[R0N0E0]PN[R0N5E0]N[R4N4E-1]PN[R8N8E0]N[R8N8E1]P,40,,46   Pd-106,Pd-106,46,2,5,0,342.05,0
Silver,PN[R8N8E-1]N[R8N8E0]PN[R5N5E1]N[R0N5E0]PN[R0N0E0]N[R0N0E0]PN[R0N4E0]N[R4N5E-1]PN[R8N8E0]N[R8N8E1]P,40,,47   Ag-108,Ag-108,47,2,5,0,342.05,0
Cadmium,PN[R8N8E-1]N[R8N8E0]PN[R5N6E1]N[R0N5E0]PN[R0N0E0]N[R0N0E0]PN[R0N5E0]N[R5N6E-1]PN[R8N8E0]N[R8N8E1]P,40,,48   Cd-112,Cd-112,48,2,5,0,342.05,0
Indium,PN[R8N8E-1]N[R8N8E0]PN[R6N8E1]N[R0N5E0]PN[R0N0E0]N[R0N0E0]PN[R0N5E0]N[R5N6E-1]PN[R8N8E0]N[R8N8E1]P,40,,49   In-115,In-115,49,2,5,0,342.05,0
Tin,PN[R8N8E-1]N[R8N8E0]PN[R6N8E1]N[R0N5E0]PN[R0N1E0]N[R0N0E0]PN[R0N5E0]N[R6N8E-1]PN[R8N8E0]N[R8N8E1]P,40,,50   Sn-119,Sn-119,50,2,5,0,342.05,0
Antimony,PN[R8N8E-1]N[R8N8E0]PN[R7N8E1]N[R0N5E0]PN[R0N2E0]N[R0N1E0]PN[R0N5E0]N[R6N8E-1]PN[R8N8E0]N[R8N8E1]P,40,,51   Sb-122,Sb-122,51,2,5,0,342.05,0
Tellurium,PN[R8N8E-1]N[R8N8E0]PN[R7N8E1]N[R0N6E0]PN[R0N3E0]N[R0N3E0]PN[R0N6E0]N[R7N8E-1]PN[R8N8E0]N[R8N8E1]P,40,,52   Te-128,Te-128,52,2,5,0,342.05,0
Iodine,PN[R8N8E-1]N[R8N8E0]PN[R8N8E1]N[R0N5E0]PN[R0N3E0]N[R0N3E0]PN[R0N5E0]N[R7N8E-1]PN[R8N8E0]N[R8N8E1]P,40,,53   I-127,I-127,53,2,5,0,342.05,0
Xenon,PN[R8N8E-1]N[R8N8E0]PN[R8N8E1]N[R0N5E0]PN[R0N4E0]N[R0N4E0]PN[R0N6E0]N[R8N8E-1]PN[R8N8E0]N[R8N8E1]P,40,,54   Xe-131,Xe-131,54,2,5,0,342.05,0
Cesium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R1N4E1]PN[R0N6E0]N[R0N6E0]PN[R0N4E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,40,,55   Cs-133,Cs-133,55,2,5,0,342.05,0
Barium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R1N5E1]PN[R0N6E0]N[R0N6E0]PN[R1N6E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,40,,56   Ba-137,Ba-137,56,2,5,0,342.05,0
Lanthanum,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R2N6E1]PN[R0N6E0]N[R0N6E0]PN[R1N6E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,40,,57   La-139,La-139,57,2,5,0,342.05,0
Cerium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R2N6E1]PN[R0N6E0]N[R0N6E0]PN[R2N6E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,40,,58   Ce-140,Ce-140,58,2,5,0,342.05,0
Praseodymium,PN[R8N8E-1]N[R8N8E-0.3]PN[R8N8E0.4]N[R3N6E1]PN[R0N6E0]N[R0N6E0]PN[R2N6E-1]N[R8N8E-0.4]PN[R8N8E0.3]N[R8N8E1]P,40,,59   Pr-141,Pr-141,59,2,5,0,342.05,0
